,OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,ENSEMBL_A,ENSEMBL_B,PUBMED_ID,description_A,description_B
334284,PDGFRA,PDGFRA,ENSG00000134853,ENSG00000134853,15767546,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA
334290,PDGFRA,PDGFA,ENSG00000134853,ENSG00000197461,15767546,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,PLATELET DERIVED GROWTH FACTOR SUBUNIT A
334291,PDGFRA,PDGFB,ENSG00000134853,ENSG00000100311,15767546,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA,PLATELET DERIVED GROWTH FACTOR SUBUNIT B
334309,EGFR,EGFR,ENSG00000146648,ENSG00000146648,21775422,EPIDERMAL GROWTH FACTOR RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR
334405,EGFR,CDH2,ENSG00000146648,ENSG00000170558,19033391,EPIDERMAL GROWTH FACTOR RECEPTOR,CADHERIN 2
334407,CDH2,EGFR,ENSG00000170558,ENSG00000146648,19033391,CADHERIN 2,EPIDERMAL GROWTH FACTOR RECEPTOR
334439,EGFR,ITGB1,ENSG00000146648,ENSG00000150093,23595626,EPIDERMAL GROWTH FACTOR RECEPTOR,INTEGRIN SUBUNIT BETA 1
334440,EGFR,EGFR,ENSG00000146648,ENSG00000146648,23595626,EPIDERMAL GROWTH FACTOR RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR
334470,EGFR,EGFR,ENSG00000146648,ENSG00000146648,20456371,EPIDERMAL GROWTH FACTOR RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR
335552,TGFA,ADAM17,ENSG00000163235,ENSG00000151694,18930083,TRANSFORMING GROWTH FACTOR ALPHA,ADAM METALLOPEPTIDASE DOMAIN 17
335561,PSEN1,CDH2,ENSG00000080815,ENSG00000170558,20696212,PRESENILIN 1,CADHERIN 2
335701,EGFR,PTPRT,ENSG00000146648,ENSG00000196090,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE T
335778,EGFR,ABCA1,ENSG00000146648,ENSG00000165029,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,ATP BINDING CASSETTE SUBFAMILY A MEMBER 1
335782,EGFR,EGFR,ENSG00000146648,ENSG00000146648,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR
335784,EGFR,HLA-B,ENSG00000146648,ENSG00000234745,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B"
335788,EGFR,MAS1,ENSG00000146648,ENSG00000130368,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,"MAS1 PROTO-ONCOGENE, G PROTEIN-COUPLED RECEPTOR"
335798,EGFR,HMGB1,ENSG00000146648,ENSG00000189403,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,HIGH MOBILITY GROUP BOX 1
335802,EGFR,HSPA5,ENSG00000146648,ENSG00000044574,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5
335812,EGFR,CD58,ENSG00000146648,ENSG00000116815,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,CD58 MOLECULE
335826,EGFR,DPP4,ENSG00000146648,ENSG00000197635,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,DIPEPTIDYL PEPTIDASE 4
335893,EGFR,DIP2A,ENSG00000146648,ENSG00000160305,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,DISCO INTERACTING PROTEIN 2 HOMOLOG A
335900,EGFR,MICB,ENSG00000146648,ENSG00000204516,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,MHC CLASS I POLYPEPTIDE-RELATED SEQUENCE B
336007,EGFR,PLVAP,ENSG00000146648,ENSG00000130300,28065597,EPIDERMAL GROWTH FACTOR RECEPTOR,PLASMALEMMA VESICLE ASSOCIATED PROTEIN
336859,TNS1,DMD,ENSG00000079308,ENSG00000198947,27880917,TENSIN 1,DYSTROPHIN
338730,NLGN3,NLGN4X,ENSG00000196338,ENSG00000146938,28514442,NEUROLIGIN 3,NEUROLIGIN 4 X-LINKED
338846,AREG,AREG,ENSG00000109321,ENSG00000109321,28514442,AMPHIREGULIN,AMPHIREGULIN
339011,FGFR2,FGFR3,ENSG00000066468,ENSG00000068078,28514442,FIBROBLAST GROWTH FACTOR RECEPTOR 2,FIBROBLAST GROWTH FACTOR RECEPTOR 3
339159,WNT5A,WNT5B,ENSG00000114251,ENSG00000111186,28514442,WNT FAMILY MEMBER 5A,WNT FAMILY MEMBER 5B
339261,NLGN3,NLGN1,ENSG00000196338,ENSG00000169760,28514442,NEUROLIGIN 3,NEUROLIGIN 1
339837,NLGN3,NLGN2,ENSG00000196338,ENSG00000169992,28514442,NEUROLIGIN 3,NEUROLIGIN 2
341569,LGALS3,CSPG4,ENSG00000131981,ENSG00000173546,28514442,GALECTIN 3,CHONDROITIN SULFATE PROTEOGLYCAN 4
341612,HLA-B,HLA-E,ENSG00000234745,ENSG00000204592,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E"
341944,HLA-B,HLA-C,ENSG00000234745,ENSG00000204525,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C"
342155,LPAR1,TYRO3,ENSG00000198121,ENSG00000092445,28514442,LYSOPHOSPHATIDIC ACID RECEPTOR 1,TYRO3 PROTEIN TYROSINE KINASE
342248,LGALS3,PTPRJ,ENSG00000131981,ENSG00000149177,28514442,GALECTIN 3,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE J
342986,LGALS3,ITGA1,ENSG00000131981,ENSG00000213949,28514442,GALECTIN 3,INTEGRIN SUBUNIT ALPHA 1
343400,WNT7A,WNT5A,ENSG00000154764,ENSG00000114251,28514442,WNT FAMILY MEMBER 7A,WNT FAMILY MEMBER 5A
343775,TNFRSF1A,TNF,ENSG00000067182,ENSG00000232810,28514442,TNF RECEPTOR SUPERFAMILY MEMBER 1A,TUMOR NECROSIS FACTOR
344248,HLA-DRB1,HLA-DRB1,ENSG00000196126,ENSG00000196126,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA 1","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA 1"
344940,LRPAP1,LRP4,ENSG00000163956,ENSG00000134569,28514442,LDL RECEPTOR RELATED PROTEIN ASSOCIATED PROTEIN 1,LDL RECEPTOR RELATED PROTEIN 4
345670,LGALS3,ALCAM,ENSG00000131981,ENSG00000170017,28514442,GALECTIN 3,ACTIVATED LEUKOCYTE CELL ADHESION MOLECULE
345895,KCNJ5,KCNJ3,ENSG00000120457,ENSG00000162989,28514442,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 5,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 3
346117,LGALS3,CD109,ENSG00000131981,ENSG00000156535,28514442,GALECTIN 3,CD109 MOLECULE
347980,PLAU,SERPINE2,ENSG00000122861,ENSG00000135919,28514442,"PLASMINOGEN ACTIVATOR, UROKINASE",SERPIN FAMILY E MEMBER 2
348049,HAVCR2,CLDND1,ENSG00000135077,ENSG00000080822,28514442,HEPATITIS A VIRUS CELLULAR RECEPTOR 2,CLAUDIN DOMAIN CONTAINING 1
348498,LPAR1,SLC9A1,ENSG00000198121,ENSG00000090020,28514442,LYSOPHOSPHATIDIC ACID RECEPTOR 1,SOLUTE CARRIER FAMILY 9 MEMBER A1
348723,APP,SULF1,ENSG00000142192,ENSG00000137573,28514442,AMYLOID BETA PRECURSOR PROTEIN,SULFATASE 1
348840,MFGE8,ITGB5,ENSG00000140545,ENSG00000082781,28514442,MILK FAT GLOBULE-EGF FACTOR 8 PROTEIN,INTEGRIN SUBUNIT BETA 5
348844,LGALS3,ABCB1,ENSG00000131981,ENSG00000085563,28514442,GALECTIN 3,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1
348871,TGFB1,ERP44,ENSG00000105329,ENSG00000023318,28514442,TRANSFORMING GROWTH FACTOR BETA 1,ENDOPLASMIC RETICULUM PROTEIN 44
350050,HAVCR2,DIP2A,ENSG00000135077,ENSG00000160305,28514442,HEPATITIS A VIRUS CELLULAR RECEPTOR 2,DISCO INTERACTING PROTEIN 2 HOMOLOG A
350088,TNFRSF1A,GPRC5B,ENSG00000067182,ENSG00000167191,28514442,TNF RECEPTOR SUPERFAMILY MEMBER 1A,G PROTEIN-COUPLED RECEPTOR CLASS C GROUP 5 MEMBER B
350247,LRFN4,LGALS1,ENSG00000173621,ENSG00000100097,28514442,LEUCINE RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN CONTAINING 4,GALECTIN 1
350435,LGALS3,CLCN3,ENSG00000131981,ENSG00000109572,28514442,GALECTIN 3,CHLORIDE VOLTAGE-GATED CHANNEL 3
350460,UPK1A,FZD3,ENSG00000105668,ENSG00000104290,28514442,UROPLAKIN 1A,FRIZZLED CLASS RECEPTOR 3
351259,LGALS3,HEG1,ENSG00000131981,ENSG00000173706,28514442,GALECTIN 3,HEART DEVELOPMENT PROTEIN WITH EGF LIKE DOMAINS 1
351385,ERP29,ARSB,ENSG00000089248,ENSG00000113273,28514442,ENDOPLASMIC RETICULUM PROTEIN 29,ARYLSULFATASE B
351471,ALCAM,LGALS1,ENSG00000170017,ENSG00000100097,28514442,ACTIVATED LEUKOCYTE CELL ADHESION MOLECULE,GALECTIN 1
351579,CD44,FGFR2,ENSG00000026508,ENSG00000066468,28514442,CD44 MOLECULE (INDIAN BLOOD GROUP),FIBROBLAST GROWTH FACTOR RECEPTOR 2
352141,HLA-DPA1,FUT4,ENSG00000231389,ENSG00000196371,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",FUCOSYLTRANSFERASE 4
352317,TGFBR2,BMPR1A,ENSG00000163513,ENSG00000107779,28514442,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A
352498,CLEC5A,CD276,ENSG00000258227,ENSG00000103855,28514442,C-TYPE LECTIN DOMAIN CONTAINING 5A,CD276 MOLECULE
353094,PTPRK,ARSB,ENSG00000152894,ENSG00000113273,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,ARYLSULFATASE B
353577,SERPINA5,FURIN,ENSG00000188488,ENSG00000140564,28514442,SERPIN FAMILY A MEMBER 5,"FURIN, PAIRED BASIC AMINO ACID CLEAVING ENZYME"
354175,APP,SULF2,ENSG00000142192,ENSG00000196562,28514442,AMYLOID BETA PRECURSOR PROTEIN,SULFATASE 2
354773,LRRC32,TGFB1,ENSG00000137507,ENSG00000105329,28514442,LEUCINE RICH REPEAT CONTAINING 32,TRANSFORMING GROWTH FACTOR BETA 1
354871,AOC3,SLC9A1,ENSG00000131471,ENSG00000090020,28514442,AMINE OXIDASE COPPER CONTAINING 3,SOLUTE CARRIER FAMILY 9 MEMBER A1
355857,HLA-C,HLA-A,ENSG00000204525,ENSG00000206503,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
355935,TNFRSF10A,TNFRSF10B,ENSG00000104689,ENSG00000120889,28514442,TNF RECEPTOR SUPERFAMILY MEMBER 10A,TNF RECEPTOR SUPERFAMILY MEMBER 10B
356029,SDC1,EPHA2,ENSG00000115884,ENSG00000142627,28514442,SYNDECAN 1,EPH RECEPTOR A2
356345,AREG,ICAM1,ENSG00000109321,ENSG00000090339,28514442,AMPHIREGULIN,INTERCELLULAR ADHESION MOLECULE 1
356933,VASN,NOTCH2,ENSG00000168140,ENSG00000134250,28514442,VASORIN,NOTCH RECEPTOR 2
356976,FGF10,HIST1H1A,ENSG00000070193,ENSG00000124610,28514442,FIBROBLAST GROWTH FACTOR 10,HISTONE CLUSTER 1 H1 FAMILY MEMBER A
357488,CLU,ITGA8,ENSG00000120885,ENSG00000077943,28514442,CLUSTERIN,INTEGRIN SUBUNIT ALPHA 8
357745,MICA,VAMP3,ENSG00000204520,ENSG00000049245,28514442,MHC CLASS I POLYPEPTIDE-RELATED SEQUENCE A,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
357923,PTPRK,ADAM9,ENSG00000152894,ENSG00000168615,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,ADAM METALLOPEPTIDASE DOMAIN 9
358045,TNF,DAG1,ENSG00000232810,ENSG00000173402,28514442,TUMOR NECROSIS FACTOR,DYSTROGLYCAN 1
358059,PTPRK,ITGA8,ENSG00000152894,ENSG00000077943,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,INTEGRIN SUBUNIT ALPHA 8
358994,HAVCR2,ACVR2A,ENSG00000135077,ENSG00000121989,28514442,HEPATITIS A VIRUS CELLULAR RECEPTOR 2,ACTIVIN A RECEPTOR TYPE 2A
359077,LRPAP1,LDLR,ENSG00000163956,ENSG00000130164,28514442,LDL RECEPTOR RELATED PROTEIN ASSOCIATED PROTEIN 1,LOW DENSITY LIPOPROTEIN RECEPTOR
359365,HLA-DRA,DCBLD2,ENSG00000204287,ENSG00000057019,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA","DISCOIDIN, CUB AND LCCL DOMAIN CONTAINING 2"
359862,CD83,BMPR2,ENSG00000112149,ENSG00000204217,28514442,CD83 MOLECULE,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 2
359880,HLA-C,HLA-E,ENSG00000204525,ENSG00000204592,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E"
360576,NRROS,RTN4RL2,ENSG00000174004,ENSG00000186907,28514442,NEGATIVE REGULATOR OF REACTIVE OXYGEN SPECIES,RETICULON 4 RECEPTOR LIKE 2
360666,LGALS3,ITGA2,ENSG00000131981,ENSG00000164171,28514442,GALECTIN 3,INTEGRIN SUBUNIT ALPHA 2
360750,PLAUR,ARSB,ENSG00000011422,ENSG00000113273,28514442,"PLASMINOGEN ACTIVATOR, UROKINASE RECEPTOR",ARYLSULFATASE B
360901,SLAMF1,ITGA7,ENSG00000117090,ENSG00000135424,28514442,SIGNALING LYMPHOCYTIC ACTIVATION MOLECULE FAMILY MEMBER 1,INTEGRIN SUBUNIT ALPHA 7
361031,LGALS3,RTN4RL2,ENSG00000131981,ENSG00000186907,28514442,GALECTIN 3,RETICULON 4 RECEPTOR LIKE 2
362186,ASIC1,TNFRSF10B,ENSG00000110881,ENSG00000120889,28514442,ACID SENSING ION CHANNEL SUBUNIT 1,TNF RECEPTOR SUPERFAMILY MEMBER 10B
362295,UPK1A,FZD1,ENSG00000105668,ENSG00000157240,28514442,UROPLAKIN 1A,FRIZZLED CLASS RECEPTOR 1
363467,HLA-C,HLA-F,ENSG00000204525,ENSG00000204642,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F"
363720,WNT4,WNT5A,ENSG00000162552,ENSG00000114251,28514442,WNT FAMILY MEMBER 4,WNT FAMILY MEMBER 5A
364288,IL17RB,BMPR1A,ENSG00000056736,ENSG00000107779,28514442,INTERLEUKIN 17 RECEPTOR B,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A
364349,PTPRK,DCBLD2,ENSG00000152894,ENSG00000057019,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,"DISCOIDIN, CUB AND LCCL DOMAIN CONTAINING 2"
364483,PECAM1,LGALS1,ENSG00000261371,ENSG00000100097,28514442,PLATELET AND ENDOTHELIAL CELL ADHESION MOLECULE 1,GALECTIN 1
364639,HLA-DPA1,DAG1,ENSG00000231389,ENSG00000173402,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",DYSTROGLYCAN 1
364948,LGALS3,MPZL1,ENSG00000131981,ENSG00000197965,28514442,GALECTIN 3,MYELIN PROTEIN ZERO LIKE 1
365027,PTPRK,EGFR,ENSG00000152894,ENSG00000146648,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,EPIDERMAL GROWTH FACTOR RECEPTOR
365066,HLA-E,ITGA6,ENSG00000204592,ENSG00000091409,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E",INTEGRIN SUBUNIT ALPHA 6
365118,SFRP4,CALR,ENSG00000106483,ENSG00000179218,28514442,SECRETED FRIZZLED RELATED PROTEIN 4,CALRETICULIN
365645,UPK1A,LRRC8A,ENSG00000105668,ENSG00000136802,28514442,UROPLAKIN 1A,LEUCINE RICH REPEAT CONTAINING 8 VRAC SUBUNIT A
365779,LRPAP1,LRP2,ENSG00000163956,ENSG00000081479,28514442,LDL RECEPTOR RELATED PROTEIN ASSOCIATED PROTEIN 1,LDL RECEPTOR RELATED PROTEIN 2
365982,LIPG,NRP1,ENSG00000101670,ENSG00000099250,28514442,"LIPASE G, ENDOTHELIAL TYPE",NEUROPILIN 1
366576,LGALS3,CD58,ENSG00000131981,ENSG00000116815,28514442,GALECTIN 3,CD58 MOLECULE
366795,UPK1A,ANO6,ENSG00000105668,ENSG00000177119,28514442,UROPLAKIN 1A,ANOCTAMIN 6
367270,HLA-DRA,SCARB1,ENSG00000204287,ENSG00000073060,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA",SCAVENGER RECEPTOR CLASS B MEMBER 1
367423,SEMA7A,SLC9A1,ENSG00000138623,ENSG00000090020,28514442,SEMAPHORIN 7A (JOHN MILTON HAGEN BLOOD GROUP),SOLUTE CARRIER FAMILY 9 MEMBER A1
367681,LPAR1,GPRC5B,ENSG00000198121,ENSG00000167191,28514442,LYSOPHOSPHATIDIC ACID RECEPTOR 1,G PROTEIN-COUPLED RECEPTOR CLASS C GROUP 5 MEMBER B
367707,PDGFRB,PDGFRA,ENSG00000113721,ENSG00000134853,28514442,PLATELET DERIVED GROWTH FACTOR RECEPTOR BETA,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA
367878,PTPRK,CD109,ENSG00000152894,ENSG00000156535,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,CD109 MOLECULE
368138,HLA-DPA1,HLA-A,ENSG00000231389,ENSG00000206503,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
368271,PTPRK,WNT5A,ENSG00000152894,ENSG00000114251,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,WNT FAMILY MEMBER 5A
368275,LPAR1,CXCR4,ENSG00000198121,ENSG00000121966,28514442,LYSOPHOSPHATIDIC ACID RECEPTOR 1,C-X-C MOTIF CHEMOKINE RECEPTOR 4
368708,MAS1,CRYAB,ENSG00000130368,ENSG00000109846,28514442,"MAS1 PROTO-ONCOGENE, G PROTEIN-COUPLED RECEPTOR",CRYSTALLIN ALPHA B
370000,P2RY12,TSPAN15,ENSG00000169313,ENSG00000099282,28514442,PURINERGIC RECEPTOR P2Y12,TETRASPANIN 15
370327,PTPRK,SCARB1,ENSG00000152894,ENSG00000073060,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,SCAVENGER RECEPTOR CLASS B MEMBER 1
370604,HLA-E,HLA-H,ENSG00000204592,HGNC:HGNC:4965,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, H (PSEUDOGENE)"
370878,CDH5,DAG1,ENSG00000179776,ENSG00000173402,28514442,CADHERIN 5,DYSTROGLYCAN 1
371125,CLIC4,ICAM1,ENSG00000169504,ENSG00000090339,28514442,CHLORIDE INTRACELLULAR CHANNEL 4,INTERCELLULAR ADHESION MOLECULE 1
371482,NRROS,TGFB1,ENSG00000174004,ENSG00000105329,28514442,NEGATIVE REGULATOR OF REACTIVE OXYGEN SPECIES,TRANSFORMING GROWTH FACTOR BETA 1
371997,PTPRK,MICA,ENSG00000152894,ENSG00000204520,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,MHC CLASS I POLYPEPTIDE-RELATED SEQUENCE A
372040,HAVCR2,BMPR1A,ENSG00000135077,ENSG00000107779,28514442,HEPATITIS A VIRUS CELLULAR RECEPTOR 2,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A
372170,LAMP1,LGALS1,ENSG00000185896,ENSG00000100097,28514442,LYSOSOMAL ASSOCIATED MEMBRANE PROTEIN 1,GALECTIN 1
372392,HLA-DPA1,HLA-DPB1,ENSG00000231389,ENSG00000223865,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA 1"
373016,CD1B,B2M,ENSG00000158485,ENSG00000166710,28514442,CD1B MOLECULE,BETA-2-MICROGLOBULIN
373974,PTPRK,INSR,ENSG00000152894,ENSG00000171105,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,INSULIN RECEPTOR
374135,FZD10,TSPAN15,ENSG00000111432,ENSG00000099282,28514442,FRIZZLED CLASS RECEPTOR 10,TETRASPANIN 15
374407,S1PR1,CD47,ENSG00000170989,ENSG00000196776,28514442,SPHINGOSINE-1-PHOSPHATE RECEPTOR 1,CD47 MOLECULE
375014,TLR2,ACVR2A,ENSG00000137462,ENSG00000121989,28514442,TOLL LIKE RECEPTOR 2,ACTIVIN A RECEPTOR TYPE 2A
375092,LGALS3,CD63,ENSG00000131981,ENSG00000135404,28514442,GALECTIN 3,CD63 MOLECULE
375124,HLA-B,HLA-A,ENSG00000234745,ENSG00000206503,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
375532,HLA-B,HLA-H,ENSG00000234745,HGNC:HGNC:4965,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, H (PSEUDOGENE)"
375660,MME,B4GALT1,ENSG00000196549,ENSG00000086062,28514442,MEMBRANE METALLOENDOPEPTIDASE,"BETA-1,4-GALACTOSYLTRANSFERASE 1"
375736,TACR1,STX4,ENSG00000115353,ENSG00000103496,28514442,TACHYKININ RECEPTOR 1,SYNTAXIN 4
375779,CD83,BMPR1A,ENSG00000112149,ENSG00000107779,28514442,CD83 MOLECULE,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A
375862,MICA,TNFRSF10B,ENSG00000204520,ENSG00000120889,28514442,MHC CLASS I POLYPEPTIDE-RELATED SEQUENCE A,TNF RECEPTOR SUPERFAMILY MEMBER 10B
375894,TNFRSF10B,VAMP3,ENSG00000120889,ENSG00000049245,28514442,TNF RECEPTOR SUPERFAMILY MEMBER 10B,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
375954,TMEM206,MPZL1,,ENSG00000197965,28514442,,MYELIN PROTEIN ZERO LIKE 1
376382,LGALS3,PTPRK,ENSG00000131981,ENSG00000152894,28514442,GALECTIN 3,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K
376893,PTPRK,HYAL2,ENSG00000152894,ENSG00000068001,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,HYALURONIDASE 2
377128,WNT7A,HSPA5,ENSG00000154764,ENSG00000044574,28514442,WNT FAMILY MEMBER 7A,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5
377215,CCR1,EPHA2,ENSG00000163823,ENSG00000142627,28514442,C-C MOTIF CHEMOKINE RECEPTOR 1,EPH RECEPTOR A2
377402,PDGFB,C1QBP,ENSG00000100311,ENSG00000108561,28514442,PLATELET DERIVED GROWTH FACTOR SUBUNIT B,COMPLEMENT C1Q BINDING PROTEIN
377432,WNT2,HSPA5,ENSG00000105989,ENSG00000044574,28514442,WNT FAMILY MEMBER 2,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5
377516,CDH5,LRFN1,ENSG00000179776,ENSG00000128011,28514442,CADHERIN 5,LEUCINE RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN CONTAINING 1
377693,VASN,LGALS1,ENSG00000168140,ENSG00000100097,28514442,VASORIN,GALECTIN 1
378669,PTPRK,ECE1,ENSG00000152894,ENSG00000117298,28514442,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,ENDOTHELIN CONVERTING ENZYME 1
378776,VCAM1,APOA1,ENSG00000162692,ENSG00000118137,28514442,VASCULAR CELL ADHESION MOLECULE 1,APOLIPOPROTEIN A1
378779,HLA-C,ITGA6,ENSG00000204525,ENSG00000091409,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C",INTEGRIN SUBUNIT ALPHA 6
379266,HLA-C,B2M,ENSG00000204525,ENSG00000166710,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C",BETA-2-MICROGLOBULIN
379283,ANTXR1,WNT5A,ENSG00000169604,ENSG00000114251,28514442,ANTXR CELL ADHESION MOLECULE 1,WNT FAMILY MEMBER 5A
379401,LIPG,HLA-C,ENSG00000101670,ENSG00000204525,28514442,"LIPASE G, ENDOTHELIAL TYPE","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C"
379619,LMAN2,PLXNB2,ENSG00000169223,ENSG00000196576,28514442,"LECTIN, MANNOSE BINDING 2",PLEXIN B2
380404,TLR2,BMPR1A,ENSG00000137462,ENSG00000107779,28514442,TOLL LIKE RECEPTOR 2,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A
380543,TMEM206,VAMP3,,ENSG00000049245,28514442,,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
380589,IL17RC,PLXNB2,ENSG00000163702,ENSG00000196576,28514442,INTERLEUKIN 17 RECEPTOR C,PLEXIN B2
380740,TDGF1,LRFN3,ENSG00000241186,ENSG00000126243,28514442,TERATOCARCINOMA-DERIVED GROWTH FACTOR 1,LEUCINE RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN CONTAINING 3
381082,CD83,FGFR2,ENSG00000112149,ENSG00000066468,28514442,CD83 MOLECULE,FIBROBLAST GROWTH FACTOR RECEPTOR 2
381836,HLA-B,B2M,ENSG00000234745,ENSG00000166710,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B",BETA-2-MICROGLOBULIN
381858,MBP,IDE,ENSG00000197971,ENSG00000119912,28514442,MYELIN BASIC PROTEIN,INSULIN DEGRADING ENZYME
382057,HLA-E,HLA-F,ENSG00000204592,ENSG00000204642,28514442,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F"
383003,CD4,VAMP3,ENSG00000010610,ENSG00000049245,28514442,CD4 MOLECULE,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
383060,GPRC5B,STX4,ENSG00000167191,ENSG00000103496,28514442,G PROTEIN-COUPLED RECEPTOR CLASS C GROUP 5 MEMBER B,SYNTAXIN 4
