Gene / Product (bioentity),Gene / Product (bioentity_label),Gene / Product (bioentity_name),Synonyms,Organism (taxon_label),Type,Source,PANTHER family (panther_family_label),PANTHER family (panther_family),Direct annotation (annotation_class_list_label),Direct annotation (annotation_class_list),Inferred annotation (annotation_class_list_label),Inferred annotation (annotation_class_list)
UniProtKB:P15391,CD19,B-lymphocyte antigen CD19,,Homo sapiens,protein,UniProtKB,family not named pthr16674,PANTHER:PTHR16674,external side of plasma membrane|positive regulation of phosphatidylinositol 3-kinase activity|positive regulation of release of sequestered calcium ion into cytosol|plasma membrane|B cell proliferation involved in immune response|integral component of plasma membrane|antigen receptor-mediated signaling pathway|protein binding|regulation of complement activation|extracellular exosome|B-1 B cell differentiation|immunoglobulin mediated immune response|membrane raft|protein-containing complex|regulation of B cell receptor signaling pathway|positive regulation of protein kinase B signaling|regulation of immune response|B cell receptor signaling pathway|regulation of B cell activation,GO:0009897|GO:0043552|GO:0051281|GO:0005886|GO:0002322|GO:0005887|GO:0050851|GO:0005515|GO:0030449|GO:0070062|GO:0001923|GO:0016064|GO:0045121|GO:0032991|GO:0050855|GO:0051897|GO:0050776|GO:0050853|GO:0050864,,
UniProtKB:P15382,KCNE1,Potassium voltage-gated channel subfamily E member 1,,Homo sapiens,protein,UniProtKB,"potassium voltage-gated channel subfamily e member 1, 3 pthr15282",PANTHER:PTHR15282,membrane repolarization during cardiac muscle cell action potential|negative regulation of protein targeting to membrane|positive regulation of potassium ion transmembrane transport|membrane repolarization during action potential|delayed rectifier potassium channel activity|regulation of delayed rectifier potassium channel activity|regulation of ventricular cardiac muscle cell membrane repolarization|cardiac conduction|sensory perception of sound|voltage-gated potassium channel activity|potassium ion export across plasma membrane|telethonin binding|membrane repolarization during ventricular cardiac muscle cell action potential|cardiac muscle cell action potential involved in contraction|negative regulation of delayed rectifier potassium channel activity|voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization|potassium ion transmembrane transport|voltage-gated potassium channel complex|ventricular cardiac muscle cell action potential|voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization|membrane repolarization|regulation of potassium ion transmembrane transport|plasma membrane|lysosome|cell surface|Z disc|protein binding|membrane raft|cellular response to cAMP|regulation of heart rate by cardiac conduction|potassium channel regulator activity|apical plasma membrane,GO:0086013|GO:0090315|GO:1901381|GO:0086011|GO:0005251|GO:1902259|GO:0060307|GO:0061337|GO:0007605|GO:0005249|GO:0097623|GO:0031433|GO:0098915|GO:0086002|GO:1902260|GO:1902282|GO:0071805|GO:0008076|GO:0086005|GO:0086008|GO:0086009|GO:1901379|GO:0005886|GO:0005764|GO:0009986|GO:0030018|GO:0005515|GO:0045121|GO:0071320|GO:0086091|GO:0015459|GO:0016324,,
UniProtKB:P20036,HLA-DPA1,"HLA class II histocompatibility antigen, DP alpha 1 chain",HLA-DP1A|HLASB,Homo sapiens,protein,UniProtKB,mhc class ii-related pthr19944,PANTHER:PTHR19944,MHC class II protein complex|peptide antigen binding|interferon-gamma-mediated signaling pathway|MHC class II receptor activity|Golgi membrane|positive regulation of T cell proliferation|lysosomal membrane|plasma membrane|cell surface|integral component of plasma membrane|positive regulation of T cell activation|immune response|transport vesicle membrane|clathrin-coated endocytic vesicle membrane|intracellular membrane-bounded organelle|ER to Golgi transport vesicle membrane|positive regulation of interferon-gamma production|integral component of lumenal side of endoplasmic reticulum membrane|endosome membrane|cellular response to interferon-gamma|antigen processing and presentation of exogenous peptide antigen via MHC class II|endocytic vesicle membrane|trans-Golgi network membrane|T cell receptor signaling pathway,GO:0042613|GO:0042605|GO:0060333|GO:0032395|GO:0000139|GO:0042102|GO:0005765|GO:0005886|GO:0009986|GO:0005887|GO:0050870|GO:0006955|GO:0030658|GO:0030669|GO:0043231|GO:0012507|GO:0032729|GO:0071556|GO:0010008|GO:0071346|GO:0019886|GO:0030666|GO:0032588|GO:0050852,,
UniProtKB:P15328,FOLR1,Folate receptor alpha,FOLR,Homo sapiens,protein,UniProtKB,folate receptor pthr10517,PANTHER:PTHR10517,drug binding|anchored component of external side of plasma membrane|folic acid metabolic process|anterior neural tube closure|folic acid receptor activity|Golgi membrane|cardiac neural crest cell migration involved in outflow tract morphogenesis|endoplasmic reticulum membrane|endosome|extracellular exosome|regulation of canonical Wnt signaling pathway|cellular response to folic acid|heart looping|endoplasmic reticulum-Golgi intermediate compartment membrane|folic acid transport|pharyngeal arch artery morphogenesis|folate import across plasma membrane|folic acid binding|receptor-mediated endocytosis|plasma membrane|neural crest cell migration involved in heart formation|cell surface|COPII vesicle coating|nucleus|endoplasmic reticulum to Golgi vesicle-mediated transport|brush border membrane|methotrexate binding|ER to Golgi transport vesicle membrane|membrane|transport vesicle|regulation of transforming growth factor beta receptor signaling pathway|clathrin-coated vesicle|basolateral plasma membrane|apical plasma membrane|axon regeneration,GO:0008144|GO:0031362|GO:0046655|GO:0061713|GO:0061714|GO:0000139|GO:0003253|GO:0005789|GO:0005768|GO:0070062|GO:0060828|GO:0071231|GO:0001947|GO:0033116|GO:0015884|GO:0061626|GO:1904447|GO:0005542|GO:0006898|GO:0005886|GO:0003147|GO:0009986|GO:0048208|GO:0005634|GO:0006888|GO:0031526|GO:0051870|GO:0012507|GO:0016020|GO:0030133|GO:0017015|GO:0030136|GO:0016323|GO:0016324|GO:0031103,,
UniProtKB:P05067,APP,Amyloid-beta precursor protein,A4|AD1,Homo sapiens,protein,UniProtKB,alzheimer's disease beta-amyloid related pthr23103,PANTHER:PTHR23103,cellular response to nerve growth factor stimulus|positive regulation of NIK/NF-kappaB signaling|adult locomotory behavior|positive regulation of DNA-binding transcription factor activity|positive regulation of NF-kappaB transcription factor activity|positive regulation of tumor necrosis factor biosynthetic process|receptor activator activity|positive regulation of protein metabolic process|growth cone lamellipodium|synaptic growth at neuromuscular junction|clathrin-coated pit|axonogenesis|dendritic shaft|dendritic spine|neuromuscular junction|axon|neuron apoptotic process|positive regulation of peptidyl-serine phosphorylation|receptor complex|positive regulation of interleukin-6 biosynthetic process|nuclear envelope lumen|plasma membrane|positive regulation of mitotic cell cycle|positive regulation of T cell migration|protein binding|cell-cell junction|neuron projection maintenance|endosome lumen|response to interleukin-1|growth cone filopodium|COPII-coated ER to Golgi transport vesicle|positive regulation of interleukin-1 beta biosynthetic process|peptidase activator activity|regulation of multicellular organism growth|transition metal ion binding|negative regulation of long-term synaptic potentiation|positive regulation of long-term synaptic potentiation|negative regulation of cell population proliferation|cholesterol metabolic process|negative regulation of neuron differentiation|heparin binding|extracellular region|positive regulation of transcription by RNA polymerase II|cellular response to copper ion|regulation of presynapse assembly|platelet degranulation|regulation of translation|astrocyte activation|regulation of peptidyl-tyrosine phosphorylation|locomotory behavior|extracellular exosome|presynaptic active zone|axon midline choice point recognition|dendrite development|PTB domain binding|ciliary rootlet|positive regulation of phosphorylation|neuron projection development|positive regulation of signaling receptor activity|collateral sprouting in absence of injury|cellular response to amyloid-beta|signaling receptor binding|DNA binding|extracellular space|cytoplasm|positive regulation of protein phosphorylation|extracellular matrix organization|positive regulation of peptidyl-threonine phosphorylation|regulation of Wnt signaling pathway|growth factor receptor binding|positive regulation of protein binding|regulation of epidermal growth factor-activated receptor activity|smooth endoplasmic reticulum|synaptic vesicle|positive regulation of astrocyte activation|rough endoplasmic reticulum|Golgi apparatus|visual learning|synapse|Golgi lumen|learning|Golgi-associated vesicle|learning or memory|regulation of spontaneous synaptic transmission|endoplasmic reticulum lumen|smooth endoplasmic reticulum calcium ion homeostasis|cellular copper ion homeostasis|forebrain development|apical part of cell|regulation of long-term neuronal synaptic plasticity|astrocyte projection|cytosol|modulation of excitatory postsynaptic potential|regulation of NMDA receptor activity|tumor necrosis factor production|ionotropic glutamate receptor signaling pathway|positive regulation of G2/M transition of mitotic cell cycle|G protein-coupled receptor signaling pathway|synapse organization|positive regulation of amyloid-beta formation|endocytosis|mRNA polyadenylation|mating behavior|negative regulation of gene expression|positive regulation of amyloid fibril formation|serine-type endopeptidase inhibitor activity|Notch signaling pathway|positive regulation of gene expression|cellular response to manganese ion|cellular response to cAMP|regulation of gene expression|regulation of synapse structure or activity|neuron remodeling|neuromuscular process controlling balance|axo-dendritic transport|positive regulation of microglial cell activation|cell adhesion|protein phosphorylation|perikaryon|astrocyte activation involved in immune response|post-translational protein modification|integral component of plasma membrane|response to oxidative stress|early endosome|endosome|cognition|suckling behavior|positive regulation of peptidase activity|negative regulation of endopeptidase activity|cellular response to norepinephrine stimulus|trans-Golgi network membrane|platelet alpha granule lumen|identical protein binding|cellular protein metabolic process|main axon|cellular process|cell surface|amyloid fibril formation|spindle midzone|perinuclear region of cytoplasm|innate immune response|positive regulation of JNK cascade|membrane raft|positive regulation of ERK1 and ERK2 cascade|integral component of membrane|recycling endosome|response to lead ion|modulation of age-related behavioral decline|microglia development|enzyme binding|positive regulation of chemokine biosynthetic process,GO:1990090|GO:1901224|GO:0008344|GO:0051091|GO:0051092|GO:0042535|GO:0030546|GO:0051247|GO:1990761|GO:0051124|GO:0005905|GO:0007409|GO:0043198|GO:0043197|GO:0031594|GO:0030424|GO:0051402|GO:0033138|GO:0043235|GO:0045410|GO:0005641|GO:0005886|GO:0045931|GO:2000406|GO:0005515|GO:0005911|GO:1990535|GO:0031904|GO:0070555|GO:1990812|GO:0030134|GO:0050725|GO:0016504|GO:0040014|GO:0046914|GO:1900272|GO:1900273|GO:0008285|GO:0008203|GO:0045665|GO:0008201|GO:0005576|GO:0045944|GO:0071280|GO:1905606|GO:0002576|GO:0006417|GO:0048143|GO:0050730|GO:0007626|GO:0070062|GO:0048786|GO:0016199|GO:0016358|GO:0051425|GO:0035253|GO:0042327|GO:0031175|GO:2000273|GO:0048669|GO:1904646|GO:0005102|GO:0003677|GO:0005615|GO:0005737|GO:0001934|GO:0030198|GO:0010800|GO:0030111|GO:0070851|GO:0032092|GO:0007176|GO:0005790|GO:0008021|GO:0061890|GO:0005791|GO:0005794|GO:0008542|GO:0045202|GO:0005796|GO:0007612|GO:0005798|GO:0007611|GO:0150003|GO:0005788|GO:0051563|GO:0006878|GO:0030900|GO:0045177|GO:0048169|GO:0097449|GO:0005829|GO:0098815|GO:2000310|GO:0032640|GO:0035235|GO:0010971|GO:0007186|GO:0050808|GO:1902004|GO:0006897|GO:0006378|GO:0007617|GO:0010629|GO:1905908|GO:0004867|GO:0007219|GO:0010628|GO:0071287|GO:0071320|GO:0010468|GO:0050803|GO:0016322|GO:0050885|GO:0008088|GO:1903980|GO:0007155|GO:0006468|GO:0043204|GO:0002265|GO:0043687|GO:0005887|GO:0006979|GO:0005769|GO:0005768|GO:0050890|GO:0001967|GO:0010952|GO:0010951|GO:0071874|GO:0032588|GO:0031093|GO:0042802|GO:0044267|GO:0044304|GO:0009987|GO:0009986|GO:1990000|GO:0051233|GO:0048471|GO:0045087|GO:0046330|GO:0045121|GO:0070374|GO:0016021|GO:0055037|GO:0010288|GO:0090647|GO:0014005|GO:0019899|GO:0045080,,
UniProtKB:O95196,CSPG5,Chondroitin sulfate proteoglycan 5,CALEB|NGC,Homo sapiens,protein,UniProtKB,chondroitin sulfate proteoglycan 5 -related pthr15381,PANTHER:PTHR15381,"growth factor activity|cytoskeleton organization|nervous system development|glial cell projection elongation|Golgi membrane|Golgi apparatus|lysosomal lumen|extracellular region|Golgi lumen|integral component of postsynaptic membrane|trans-synaptic signaling, modulating synaptic transmission|endoplasmic reticulum membrane|chondroitin sulfate biosynthetic process|integral component of plasma membrane|dermatan sulfate biosynthetic process|chondroitin sulfate catabolic process|Golgi-associated vesicle membrane|glutamatergic synapse|intracellular transport|positive regulation of substrate adhesion-dependent cell spreading|regulation of growth|cell surface|GABA-ergic synapse|protein binding|membrane|integral component of membrane|regulation of synaptic vesicle exocytosis|regulation of signaling receptor activity",GO:0008083|GO:0007010|GO:0007399|GO:0106091|GO:0000139|GO:0005794|GO:0043202|GO:0005576|GO:0005796|GO:0099055|GO:0099550|GO:0005789|GO:0030206|GO:0005887|GO:0030208|GO:0030207|GO:0030660|GO:0098978|GO:0046907|GO:1900026|GO:0040008|GO:0009986|GO:0098982|GO:0005515|GO:0016020|GO:0016021|GO:2000300|GO:0010469,,
UniProtKB:P30273,FCER1G,High affinity immunoglobulin epsilon receptor subunit gamma,,Homo sapiens,protein,UniProtKB,high affinity immunoglobulin epsilon receptor gamma-subunit pthr16803,PANTHER:PTHR16803,"positive regulation of mast cell degranulation|interleukin-3-mediated signaling pathway|Fc-epsilon receptor signaling pathway|blood coagulation|stimulatory C-type lectin receptor signaling pathway|serotonin secretion by platelet|integral component of plasma membrane|integrin-mediated signaling pathway|phagocytosis, engulfment|positive regulation of type III hypersensitivity|positive regulation of tumor necrosis factor production|ficolin-1-rich granule membrane|interleukin-2 production|platelet activation|tertiary granule membrane|positive regulation of mast cell cytokine production|protein homodimerization activity|positive regulation of protein localization to cell surface|protein homooligomerization|neutrophil degranulation|mast cell activation|plasma membrane|cell surface|osteoclast differentiation|positive regulation of type IIa hypersensitivity|protein binding|positive regulation of type I hypersensitivity|negative regulation of mast cell apoptotic process|leukocyte migration|positive regulation of interleukin-10 production|positive regulation of interleukin-6 production|receptor internalization|positive regulation of interleukin-4 production|cellular response to low-density lipoprotein particle stimulus|protein localization to plasma membrane",GO:0043306|GO:0038156|GO:0038095|GO:0007596|GO:0002223|GO:0002554|GO:0005887|GO:0007229|GO:0006911|GO:0001805|GO:0032760|GO:0101003|GO:0032623|GO:0030168|GO:0070821|GO:0032765|GO:0042803|GO:2000010|GO:0051260|GO:0043312|GO:0045576|GO:0005886|GO:0009986|GO:0030316|GO:0001798|GO:0005515|GO:0001812|GO:0033026|GO:0050900|GO:0032733|GO:0032755|GO:0031623|GO:0032753|GO:0071404|GO:0072659,,
UniProtKB:O95069,KCNK2,Potassium channel subfamily K member 2,TREK|TREK1,Homo sapiens,protein,UniProtKB,"potassium channel, subfamily k pthr11003",PANTHER:PTHR11003,negative regulation of cardiac muscle cell proliferation|potassium ion transmembrane transport|G protein-coupled receptor signaling pathway|cochlea development|voltage-gated potassium channel complex|outward rectifier potassium channel activity|response to axon injury|cardiac ventricle development|neuronal cell body|memory|positive regulation of cellular response to hypoxia|plasma membrane|response to mechanical stimulus|cell surface|potassium ion leak channel activity|calyx of Held|endoplasmic reticulum membrane|nucleus|astrocyte projection|positive regulation of cell death|cellular response to hypoxia|apical plasma membrane|negative regulation of DNA biosynthetic process,GO:0060044|GO:0071805|GO:0007186|GO:0090102|GO:0008076|GO:0015271|GO:0048678|GO:0003231|GO:0043025|GO:0007613|GO:1900039|GO:0005886|GO:0009612|GO:0009986|GO:0022841|GO:0044305|GO:0005789|GO:0005634|GO:0097449|GO:0010942|GO:0071456|GO:0016324|GO:2000279,,
UniProtKB:Q14246,ADGRE1,Adhesion G protein-coupled receptor E1,EMR1|TM7LN3,Homo sapiens,protein,UniProtKB,g-protein coupled receptor pthr12011,PANTHER:PTHR12011,G protein-coupled receptor signaling pathway|calcium ion binding|external side of plasma membrane|adaptive immune response|cell adhesion|cell surface receptor signaling pathway,GO:0007186|GO:0005509|GO:0009897|GO:0002250|GO:0007155|GO:0007166,,
UniProtKB:Q96LB2,MRGPRX1,Mas-related G-protein coupled receptor member X1,MRGX1|SNSR3|SNSR4,Homo sapiens,protein,UniProtKB,mas-related g-protein coupled receptor pthr11334,PANTHER:PTHR11334,transmembrane signaling receptor activity|signal transduction|integral component of membrane|cell surface receptor signaling pathway|acute-phase response|plasma membrane|response to chloroquine|cell surface,GO:0004888|GO:0007165|GO:0016021|GO:0007166|GO:0006953|GO:0005886|GO:1902349|GO:0009986,,
UniProtKB:Q9UNN8,PROCR,Endothelial protein C receptor,EPCR,Homo sapiens,protein,UniProtKB,endothelial protein c receptor pthr15349,PANTHER:PTHR15349,integral component of plasma membrane|centrosome|protein binding|perinuclear region of cytoplasm|extracellular exosome|focal adhesion|negative regulation of coagulation|signaling receptor activity|blood coagulation|extracellular region|plasma membrane|cell surface,GO:0005887|GO:0005813|GO:0005515|GO:0048471|GO:0070062|GO:0005925|GO:0050819|GO:0038023|GO:0007596|GO:0005576|GO:0005886|GO:0009986,,
UniProtKB:P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1",GGTB2,Homo sapiens,protein,UniProtKB,"beta-1,4-galactosyltransferase pthr19300",PANTHER:PTHR19300,"regulation of acrosome reaction|negative regulation of cell population proliferation|lactose synthase activity|external side of plasma membrane|protein N-linked glycosylation|Golgi membrane|epithelial cell development|Golgi apparatus|cell adhesion|oligosaccharide biosynthetic process|Golgi trans cisterna|secretory granule membrane|lactose biosynthetic process|extracellular exosome|N-acetyllactosamine synthase activity|manganese ion binding|azurophil granule membrane|angiogenesis involved in wound healing|penetration of zona pellucida|UDP-galactosyltransferase activity|Golgi cisterna membrane|positive regulation of epithelial cell proliferation involved in wound healing|protein homooligomerization|galactosyltransferase activity|neutrophil degranulation|galactose metabolic process|development of secondary sexual characteristics|plasma membrane|beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity|extracellular space|binding of sperm to zona pellucida|brush border membrane|acute inflammatory response|membrane|positive regulation of apoptotic process|integral component of membrane|extracellular matrix organization|filopodium|desmosome|leukocyte migration|keratan sulfate biosynthetic process|basolateral plasma membrane",GO:0060046|GO:0008285|GO:0004461|GO:0009897|GO:0006487|GO:0000139|GO:0002064|GO:0005794|GO:0007155|GO:0009312|GO:0000138|GO:0030667|GO:0005989|GO:0070062|GO:0003945|GO:0030145|GO:0035577|GO:0060055|GO:0007341|GO:0035250|GO:0032580|GO:0060054|GO:0051260|GO:0008378|GO:0043312|GO:0006012|GO:0045136|GO:0005886|GO:0003831|GO:0005615|GO:0007339|GO:0031526|GO:0002526|GO:0016020|GO:0043065|GO:0016021|GO:0030198|GO:0030175|GO:0030057|GO:0050900|GO:0018146|GO:0016323,,
UniProtKB:Q12891,HYAL2,Hyaluronidase-2,LUCA2,Homo sapiens,protein,UniProtKB,hyaluronidase pthr11769,PANTHER:PTHR11769,RNA polymerase II transcription factor complex|anchored component of external side of plasma membrane|negative regulation of protein tyrosine kinase activity|Golgi membrane|hematopoietic progenitor cell differentiation|anchored component of plasma membrane|transforming growth factor beta binding|cellular response to UV-B|hyalurononglucosaminidase activity|transformation of host cell by virus|kidney development|microvillus|negative regulation of cell growth|multicellular organism aging|cytosol|defense response to virus|positive regulation of protein import into nucleus|positive regulation of inflammatory response|response to reactive oxygen species|plasma membrane|lysosome|endocytic vesicle|cellular response to transforming growth factor beta stimulus|protein binding|positive regulation of interleukin-8 secretion|receptor tyrosine kinase binding|apical plasma membrane|hyaluronan catabolic process|cartilage development|negative regulation of protein kinase B signaling|viral entry into host cell|negative regulation of MAP kinase activity|multicellular organismal iron ion homeostasis|receptor signaling protein tyrosine kinase inhibitor activity|response to antibiotic|response to virus|positive regulation of transcription by RNA polymerase II|glycosaminoglycan catabolic process|monocyte activation|positive regulation of interleukin-6 secretion|fusion of virus membrane with host plasma membrane|cytoplasmic vesicle|cellular response to tumor necrosis factor|positive regulation of urine volume|cellular response to fibroblast growth factor stimulus|endoplasmic reticulum|hyaluronic acid binding|skeletal system morphogenesis|cell surface|carbohydrate metabolic process|renal water absorption|perinuclear region of cytoplasm|transcription coactivator activity|cytoplasm|hyaluronoglucuronidase activity|membrane raft|cellular response to interleukin-1|negative regulation of fibroblast migration|virus receptor activity|positive regulation of extrinsic apoptotic signaling pathway|enzyme binding,GO:0090575|GO:0031362|GO:0061099|GO:0000139|GO:0002244|GO:0046658|GO:0050431|GO:0071493|GO:0004415|GO:0019087|GO:0001822|GO:0005902|GO:0030308|GO:0010259|GO:0005829|GO:0051607|GO:0042307|GO:0050729|GO:0000302|GO:0005886|GO:0005764|GO:0030139|GO:0071560|GO:0005515|GO:2000484|GO:0030971|GO:0016324|GO:0030214|GO:0051216|GO:0051898|GO:0046718|GO:0043407|GO:0060586|GO:0030294|GO:0046677|GO:0009615|GO:0045944|GO:0006027|GO:0042117|GO:2000778|GO:0019064|GO:0031410|GO:0071356|GO:0035810|GO:0044344|GO:0005783|GO:0005540|GO:0048705|GO:0009986|GO:0005975|GO:0070295|GO:0048471|GO:0003713|GO:0005737|GO:0033906|GO:0045121|GO:0071347|GO:0010764|GO:0001618|GO:2001238|GO:0019899,,
UniProtKB:Q12879,GRIN2A,"Glutamate receptor ionotropic, NMDA 2A",NMDAR2A,Homo sapiens,protein,UniProtKB,ionotropic glutamate receptor pthr18966,PANTHER:PTHR18966,presynaptic membrane|postsynaptic density|dopamine metabolic process|positive regulation of long-term synaptic potentiation|synaptic vesicle|glutamate-gated calcium ion channel activity|response to wounding|negative regulation of protein catabolic process|visual learning|neurogenesis|memory|neuron projection|glutamate receptor signaling pathway|learning or memory|integral component of plasma membrane|response to ethanol|startle response|activation of cysteine-type endopeptidase activity|excitatory chemical synaptic transmission|regulation of synaptic plasticity|regulation of NMDA receptor activity|directional locomotion|NMDA selective glutamate receptor complex|glutamatergic synapse|calcium-mediated signaling|ionotropic glutamate receptor signaling pathway|zinc ion binding|serotonin metabolic process|chemical synaptic transmission|endoplasmic reticulum|brain development|synaptic membrane|integral component of postsynaptic density membrane|protein localization to postsynaptic membrane|amyloid-beta binding|plasma membrane|NMDA glutamate receptor activity|cell surface|calcium ion transmembrane import into cytosol|protein binding|response to amphetamine|positive regulation of apoptotic process|sensory perception of pain|cell junction|sleep|regulation of sensory perception of pain,GO:0042734|GO:0014069|GO:0042417|GO:1900273|GO:0008021|GO:0022849|GO:0009611|GO:0042177|GO:0008542|GO:0022008|GO:0007613|GO:0043005|GO:0007215|GO:0007611|GO:0005887|GO:0045471|GO:0001964|GO:0097202|GO:0098976|GO:0048167|GO:2000310|GO:0033058|GO:0017146|GO:0098978|GO:0019722|GO:0035235|GO:0008270|GO:0042428|GO:0007268|GO:0005783|GO:0007420|GO:0097060|GO:0099061|GO:1903539|GO:0001540|GO:0005886|GO:0004972|GO:0009986|GO:0097553|GO:0005515|GO:0001975|GO:0043065|GO:0019233|GO:0030054|GO:0030431|GO:0051930,,
UniProtKB:Q12846,STX4,Syntaxin-4,STX4A,Homo sapiens,protein,UniProtKB,syntaxin pthr19957,PANTHER:PTHR19957,somatodendritic compartment|positive regulation of cell population proliferation|synapse|positive regulation of cell adhesion|vacuole|trans-Golgi network|positive regulation of immunoglobulin secretion|endosome|organelle fusion|extracellular exosome|postsynapse|cytokine-mediated signaling pathway|specific granule|dendritic spine|vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane|sphingomyelin phosphodiesterase activator activity|cytosol|long-term synaptic potentiation|glutamatergic synapse|positive regulation of insulin secretion involved in cellular response to glucose stimulus|lamellipodium|lateral loop|response to hydroperoxide|regulation of extrinsic apoptotic signaling pathway via death domain receptors|positive regulation of protein localization to cell surface|SNARE complex assembly|positive regulation of protein localization to plasma membrane|post-Golgi vesicle-mediated transport|positive regulation of eosinophil degranulation|storage vacuole|plasma membrane|cell surface|extracellular space|protein binding|perinuclear region of cytoplasm|myelin sheath adaxonal region|positive regulation of catalytic activity|membrane|phagocytic vesicle membrane|SNARE complex|regulation of exocytosis|cellular response to interferon-gamma|basolateral plasma membrane|positive regulation of chemotaxis|positive regulation of cell migration,GO:0036477|GO:0008284|GO:0045202|GO:0045785|GO:0005773|GO:0005802|GO:0051024|GO:0005768|GO:0048284|GO:0070062|GO:0098794|GO:0019221|GO:0042581|GO:0043197|GO:1990668|GO:0016230|GO:0005829|GO:0060291|GO:0098978|GO:0035774|GO:0030027|GO:0043219|GO:0033194|GO:1902041|GO:2000010|GO:0035493|GO:1903078|GO:0006892|GO:0043311|GO:0000322|GO:0005886|GO:0009986|GO:0005615|GO:0005515|GO:0048471|GO:0035749|GO:0043085|GO:0016020|GO:0030670|GO:0031201|GO:0017157|GO:0071346|GO:0016323|GO:0050921|GO:0030335,,
UniProtKB:Q12809,KCNH2,Potassium voltage-gated channel subfamily H member 2,ERG|ERG1|HERG,Homo sapiens,protein,UniProtKB,voltage and ligand gated potassium channel pthr10217,PANTHER:PTHR10217,membrane repolarization during cardiac muscle cell action potential|positive regulation of potassium ion transmembrane transport|negative regulation of potassium ion transmembrane transport|membrane repolarization during action potential|potassium ion homeostasis|C3HC4-type RING finger domain binding|delayed rectifier potassium channel activity|regulation of membrane repolarization|regulation of ventricular cardiac muscle cell membrane repolarization|negative regulation of potassium ion export across plasma membrane|cardiac muscle contraction|cardiac conduction|voltage-gated potassium channel activity|potassium ion export across plasma membrane|membrane repolarization during ventricular cardiac muscle cell action potential|identical protein binding|voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization|protein homodimerization activity|potassium ion transmembrane transport|cellular response to drug|voltage-gated potassium channel complex|ventricular cardiac muscle cell action potential|inward rectifier potassium channel activity|regulation of heart rate by hormone|voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization|membrane repolarization|regulation of potassium ion transmembrane transport|plasma membrane|cell surface|potassium ion import across plasma membrane|scaffold protein binding|protein binding|ubiquitin protein ligase binding|regulation of membrane potential|perinuclear region of cytoplasm|inward rectifier potassium channel complex|regulation of heart rate by cardiac conduction|membrane depolarization during action potential,GO:0086013|GO:1901381|GO:1901380|GO:0086011|GO:0055075|GO:0055131|GO:0005251|GO:0060306|GO:0060307|GO:1903765|GO:0060048|GO:0061337|GO:0005249|GO:0097623|GO:0098915|GO:0042802|GO:1902282|GO:0042803|GO:0071805|GO:0035690|GO:0008076|GO:0086005|GO:0005242|GO:0003064|GO:0086008|GO:0086009|GO:1901379|GO:0005886|GO:0009986|GO:1990573|GO:0097110|GO:0005515|GO:0031625|GO:0042391|GO:0048471|GO:1902937|GO:0086091|GO:0086010,,
